"gene_name","cells_above_default_threshold","max_avg_expression","above_default_threshold"
"Olfr689",0,0.021739,FALSE
"Olfr690",0,0.041667,FALSE
"Olfr691",0,0.125,FALSE
"Olfr692",0,0.006289,FALSE
"Fam160a2",25,0.666667,TRUE
"Gm4070",0,0.033392,FALSE
"Olfr693",0,0.006349,FALSE
"Olfr694",0,0.022222,FALSE
"Olfr695",0,0.019048,FALSE
"Olfr697",0,0.008627,FALSE
"Olfr698",0,0.015873,FALSE
"Olfr699",0,0.012698,FALSE
"Olfr700",0,0.011494,FALSE
"Olfr701",0,0.222222,FALSE
"Olfr702",0,0.044444,FALSE
"Olfr703",0,0.047619,FALSE
"Olfr706",0,0.002268,FALSE
"Olfr707",0,0.009434,FALSE
"Olfr709-ps1",0,0.001569,FALSE
"Olfr6",0,0.003175,FALSE
"Olfr2",0,0.004405,FALSE
"Olfr715",0,0.02521,FALSE
"Olfr716",0,0.066667,FALSE
"Olfr472",0,0.023529,FALSE
"Olfr473",0,0.01098,FALSE
"Olfr479",0,0.001569,FALSE
"Olfr482",0,0.003145,FALSE
"Olfr506",0,0.004405,FALSE
"Olfr509",0,0.003922,FALSE
"Olfr517",0,0.003984,FALSE
"St5",45,2,TRUE
"Mrvi1",0,0.10084,FALSE
"1700012D14Rik",31,2.439367,TRUE
"Arntl",3,0.285714,TRUE
"Gm19950",0,0.083333,FALSE
"Tmem159",0,0.10643,FALSE
"Gm5737",2,0.275862,TRUE
"Gm15774",0,0.068966,FALSE
"Gm26974",0,0.2,FALSE
"Gm15338",0,0.030588,FALSE
"D430042O09Rik",48,7.05042,TRUE
"Fam57b",2,0.261176,TRUE
"Aldoa.1",0,0.193277,FALSE
"Sept1",0,0.183908,FALSE
"9130019O22Rik",0,0.005728,FALSE
"E430018J23Rik",2,0.26826,TRUE
"Ccdc189",3,0.428571,TRUE
"9130023H24Rik",0,0.111111,FALSE
"BC017158",0,0.083333,FALSE
"5430419D17Rik",0,0.076923,FALSE
"Gm45671",0,0.017978,FALSE
"6430531B16Rik",15,1.042017,TRUE
"Olfr524",0,0.009524,FALSE
"Cd163l1",0,0.084034,FALSE
"5830411N06Rik",0,0.005181,FALSE
"Olfr525",0,0.072013,FALSE
"Olfr60",0,0,FALSE
"Olfr535",0,0.083333,FALSE
"Olfr536",0,0.008403,FALSE
"Olfr538",0,0.066667,FALSE
"Olfr46",0,0.126984,FALSE
"Olfr61",0,0.069804,FALSE
"Olfr53",0,0.009412,FALSE
"Olfr539",0,0.111111,FALSE
"Olfr45",0,0.003922,FALSE
"Olfr541",0,0.000784,FALSE
"Odf3",4,0.466667,TRUE
"Gm17387",0,0.066667,FALSE
"Cars",8,0.333333,TRUE
"Gm44929",0,0.003984,FALSE
"Tex45",1,0.289866,TRUE
"C330021F23Rik",0,0.076923,FALSE
"A630009H07Rik",0,0.001571,FALSE
"Gm44626",3,0.283019,TRUE
"Fam155a",8,1.20549,TRUE
"Gm10217",0,0.006289,FALSE
"3930402G23Rik",0,0.015936,FALSE
"1700016D06Rik",14,0.831746,TRUE
"Gm15353",4,0.521008,TRUE
"AF366264",0,0.213152,FALSE
"4930467E23Rik",5,0.437166,TRUE
"Gm31371",0,0.088235,FALSE
"Gm15319",0,0.199198,FALSE
"Gm21119",0,0.207219,FALSE
"Gm45238",0,0.021739,FALSE
"Gm31045",2,0.466667,TRUE
"Gm31898",0,0.067227,FALSE
"Poteg",15,4.941176,TRUE
"Gm45304",0,0.006289,FALSE
"Gm10131",0,0.066667,FALSE
"Gm45301",0,0.000786,FALSE
"Gm5346",0,0.013333,FALSE
"1700029J07Rik",17,1.444706,TRUE
"Gm45323",0,0.20817,FALSE
"Gm45455",0,0.005348,FALSE
"5033428I22Rik",2,0.512605,TRUE
"Gm34099",0,0.016807,FALSE
"Gm45359",0,0.111111,FALSE
"Gm45356",6,0.949686,TRUE
"March1",8,3.006284,TRUE
"D130040H23Rik",3,0.333333,TRUE
"Gm9495",6,0.659091,TRUE
"Gm7697",6,0.894385,TRUE
"Fam129c",0,0.166667,FALSE
"Olfr372",0,0.002217,FALSE
"Olfr373",0,0.066667,FALSE
"Olfr374",0,0.018068,FALSE
"Gm16091",13,0.798319,TRUE
"Gm10282",0,0.011494,FALSE
"Gm45741",0,0.00982,FALSE
"1700092C02Rik",0,0.010624,FALSE
"Gm9725",5,0.882353,TRUE
"Gm45538",2,0.294118,TRUE
"Ddx39",15,1.016807,TRUE
"2210011C24Rik",0,0.142857,FALSE
"4930432K21Rik",12,0.840336,TRUE
"Gm26887",3,0.666667,TRUE
"Ccdc130",2,0.378151,TRUE
"Asna1",0,0.25,FALSE
"Gm5741",0,0.006349,FALSE
"Olfr371",0,0.166667,FALSE
"Gm5118",0,0.082482,FALSE
"Gm2694",16,1.133333,TRUE
"Gm45639",0,0.011494,FALSE
"Gm35850",0,0.066667,FALSE
"Gm45764",0,0.041667,FALSE
"Gm26843",0,0.102745,FALSE
"Gm30606",0,0.039216,FALSE
"Fam192a",9,0.722689,TRUE
"Tepp",13,0.633466,TRUE
"D230025D16Rik",2,0.333333,TRUE
"4931428F04Rik",9,0.368421,TRUE
"Lrrc29",17,1.596639,TRUE
"Dpep2.1",0,0.025157,FALSE
"Gm17720",0,0.066667,FALSE
"Aars",20,1.605042,TRUE
"Kars",0,0.142857,FALSE
"Fam92b",0,0.044025,FALSE
"2810004N23Rik",28,0.747126,TRUE
"Gm10999",4,0.319328,TRUE
"2610044O15Rik8",2,0.302521,TRUE
"Gm10719",0,0.000818,FALSE
"Gm10718",0,0.083333,FALSE
"Gm17571",0,0.008403,FALSE
"Olfr24",3,0.379608,TRUE
"Olfr832",0,0.009412,FALSE
"Olfr835",0,0.003175,FALSE
"Olfr836",0,0.001833,FALSE
"Olfr837",0,0.001571,FALSE
"Olfr839-ps1",0,0.003175,FALSE
"Olfr843",0,0.003142,FALSE
"Olfr855",0,0.002353,FALSE
"Olfr857",0,0,FALSE
"Olfr860",0,0.130196,FALSE
"Olfr862",0,0.018717,FALSE
"Olfr77",0,0.003175,FALSE
"Olfr867",0,0.001833,FALSE
"Olfr868",0,0.003922,FALSE
"Olfr869",0,0.016807,FALSE
"Olfr872",0,0.010196,FALSE
"Olfr39",0,0.008403,FALSE
"Olfr873",0,0.083333,FALSE
"Olfr18",0,0.041667,FALSE
"Ccdc151",8,0.915966,TRUE
"9530077C05Rik",27,2.033613,TRUE
"Gm17545",15,2.327731,TRUE
"Sept7",44,1.915966,TRUE
"Gm47775",0,0.058824,FALSE
"Srpr",44,3.084034,TRUE
"Gm1113",0,0.005181,FALSE
"Olfr160",0,0.001571,FALSE
"Olfr874",0,0.003273,FALSE
"Olfr875",0,0.002455,FALSE
"Olfr887",0,0.011457,FALSE
"Olfr888",0,0.003273,FALSE
"Olfr889",7,1.25,TRUE
"Olfr890",0,0.006416,FALSE
"Olfr896-ps1",0,0.176471,FALSE
"Olfr25",0,0.226891,FALSE
"Olfr898",0,0.008403,FALSE
"Olfr906",0,0.003984,FALSE
"Olfr912",0,0.00369,FALSE
"Olfr914",0,0.003175,FALSE
"Olfr916",0,0.003175,FALSE
"Olfr920",0,0.021739,FALSE
"Olfr921",0,0.012698,FALSE
"Olfr922",0,0.044444,FALSE
"Olfr923",0,0.075294,FALSE
"Olfr924",0,0.183529,FALSE
"Olfr930",0,0.009524,FALSE
"Olfr937",0,0.015723,FALSE
"Olfr27",0,0.041667,FALSE
"Olfr961",0,0.000786,FALSE
"Olfr965",0,0.008403,FALSE
"Olfr972",0,0.017185,FALSE
"Olfr229",0,0.009524,FALSE
"Olfr974",0,0.041667,FALSE
"Olfr975",0,0.056465,FALSE
"Olfr976",0,0.017415,FALSE
"Olfr978",0,0.058824,FALSE
"Olfr979",0,0.092437,FALSE
"Olfr980",0,0.033613,FALSE
"Olfr981",2,0.277311,TRUE
"Olfr982",0,0.003175,FALSE
"Olfr983",0,0.166667,FALSE
"Olfr986",0,0.008787,FALSE
"Gm48784",0,0.008403,FALSE
"AC160966.1",0,0.034014,FALSE
"Tmem136",0,0.076923,FALSE
"Gm29961",0,0.005312,FALSE
"Gm3898",0,0.000917,FALSE
"Gm30373",0,0.076923,FALSE
"Pdzd3",0,0.003145,FALSE
"H2afx",4,0.588235,TRUE
"Ccdc84",2,0.333333,TRUE
"Atp5l",25,0.583333,TRUE
"BC049352",0,0.021739,FALSE
"Gm48945",0,0.007059,FALSE
"1110032A03Rik",42,2.142857,TRUE
"4833427G06Rik",35,1.840336,TRUE
"Colca2",0,0.033613,FALSE
"1810046K07Rik",0,0.205882,FALSE
"Wdr61",11,1,TRUE
"Odf3l1",3,0.266667,TRUE
"Gramd2",2,0.333333,TRUE
"4933433G08Rik",1,0.428571,TRUE
"I730028E13Rik",0,0.025368,FALSE
"Ccpg1os",6,0.461255,TRUE
"2310009A05Rik",0,0.2,FALSE
"Fam214a",18,3.302521,TRUE
"Ick",4,0.294118,TRUE
"Gm48820",0,0.037647,FALSE
"Ube2cbp",4,0.533333,TRUE
"1700057G04Rik",3,0.432157,TRUE
"Gm28729",3,0.35873,TRUE
"1300017J02Rik",10,1.97479,TRUE
"Acpp",0,0.114943,FALSE
"4921523L03Rik",4,0.705882,TRUE
"Ccdc36",17,1.521008,TRUE
"Qars",2,0.266667,TRUE
"Tdgf1",0,0.011494,FALSE
"Gm10030",2,0.27673,TRUE
"Gm39436",0,0.059748,FALSE
"Gm26962",0,0.042553,FALSE
"Gm48007",0,0.015723,FALSE
"Zfp651",0,0.183908,FALSE
"Gm47113",3,0.266667,TRUE
"Gm35501",0,0.133333,FALSE
"Gm10945",0,0.001337,FALSE
"Gm48721",0,0.016807,FALSE
"Gm40603",0,0.210196,FALSE
"Gm47770",0,0.001337,FALSE
"Gm47771",0,0.111111,FALSE
"Gm33056",0,0.142857,FALSE
"4930444G20Rik",0,0.087649,FALSE
"Gm47843",0,0.043205,FALSE
"Soga3",0,0.066667,FALSE
"Gm49446",1,0.346032,TRUE
"Gm16364.1",2,0.4,TRUE
"9030612E09Rik",0,0.076923,FALSE
"Gm9803",0,0.088561,FALSE
"1700021F05Rik",0,0.184943,FALSE
"Gm34481",0,0.076923,FALSE
"Bves",0,0.172414,FALSE
"Lilr4b",0,0.151261,FALSE
"Gm47613",0,0.154195,FALSE
"Gm36173",0,0.092549,FALSE
"Gm19395",19,0.846296,TRUE
"AW822073",0,0.076923,FALSE
"Gm4981",0,0.021739,FALSE
"Gm17542",0,0.012549,FALSE
"Sept10",22,2.848739,TRUE
"Gm20625",0,0.015686,FALSE
"H2afy2",4,0.333333,TRUE
"Kif1bp",19,0.815126,TRUE
"Gm7075",0,0.002674,FALSE
"C730027H18Rik.1",0,0.016807,FALSE
"AC141477.1",0,0,FALSE
"4930483K19Rik",0,0.134454,FALSE
"Fam207a",2,0.416667,TRUE
"Olfr1358",0,0.051555,FALSE
"Olfr1357",0,0.001757,FALSE
"Ccdc105",1,0.290249,TRUE
"Olfr1355",0,0.008403,FALSE
"Olfr1354",0,0.005181,FALSE
"Olfr8",0,0.008403,FALSE
"Olfr1353",0,0.004706,FALSE
"Olfr1352",0,0.063492,FALSE
"Olfr1351",0,0.209524,FALSE
"Olfr57",0,0.179245,FALSE
"Theg",0,0.154195,FALSE
"Atp5d",5,0.415129,TRUE
"1600002K03Rik",0,0.111111,FALSE
"4930404N11Rik",21,0.606906,TRUE
"Zfp781",0,0.111111,FALSE
"4932415D10Rik",16,1.32754,TRUE
"1190007I07Rik",0,0.132802,FALSE
"D10Wsu102e",42,4.6,TRUE
"Btbd11",0,0.166667,FALSE
"Uhrf1bp1l",42,2.462185,TRUE
"Gm17745",0,0.028571,FALSE
"Gm29684",0,0.066667,FALSE
"Gm47719",0,0.034921,FALSE
"Gm33782",0,0.036096,FALSE
"Gm48505",0,0.021739,FALSE
"Gm20110",0,0.009804,FALSE
"4930430F08Rik",7,0.890756,TRUE
"Gm5136",4,0.462185,TRUE
"Gm10271",0,0.042017,FALSE
"D630029K05Rik",0,0.134454,FALSE
"9530003J23Rik",0,0.02521,FALSE
"Gm47461",0,0.02521,FALSE
"Gm35696",0,0.066667,FALSE
"BC048403",0,0.166667,FALSE
"A130077B15Rik",0,0.016807,FALSE
"Gm47972",0,0.002656,FALSE
"March9",0,0.043478,FALSE
"F420014N23Rik",0,0.105727,FALSE
"Mars",0,0.133333,FALSE
"Atp5b",23,0.733333,TRUE
"AC135859.1",0,0.065217,FALSE
"Mettl7b",0,0.033613,FALSE
"Olfr765",0,0.006349,FALSE
"Olfr767",0,0.008403,FALSE
"Olfr768",0,0.009434,FALSE
"Olfr770",0,0.006289,FALSE
"Olfr771",0,0.003145,FALSE
"Olfr772",0,0.010196,FALSE
"Olfr775",0,0.001569,FALSE
"Olfr777",0,0.006275,FALSE
"Olfr780",0,0.003175,FALSE
"Olfr787",0,0.25,FALSE
"Olfr788",0,0.05615,FALSE
"Olfr789",0,0.004706,FALSE
"Olfr790",0,0.010695,FALSE
"Olfr791",0,0.009358,FALSE
"Olfr796",0,0.012698,FALSE
"Olfr798",0,0.001637,FALSE
"Olfr802",0,0.011457,FALSE
"Olfr806",0,0.010545,FALSE
"Olfr809",0,0.008403,FALSE
"Olfr810",0,0.000786,FALSE
"Olfr814",0,0.021739,FALSE
"Gm11032",0,0.009804,FALSE
"Gm11963",0,0.009804,FALSE
"Ankrd36",52,19.521008,TRUE
"A730071L15Rik",0,0.168067,FALSE
"H2afv",13,0.374214,TRUE
"Spata48",23,0.796825,TRUE
"Wdr92",8,0.739496,TRUE
"4933406G16Rik",0,0.149206,FALSE
"Zrsr1",2,0.260504,TRUE
"0610010F05Rik",23,1.160377,TRUE
"Gm12082",0,0.083333,FALSE
"4931440F15Rik",2,0.260504,TRUE
"4930505A04Rik",14,0.687843,TRUE
"Gm12122",0,0.083333,FALSE
"Rars",20,0.416667,TRUE
"Gm12166",0,0.083333,FALSE
"Fam71b",2,0.810093,TRUE
"BC053393",1,0.266667,TRUE
"Gm4926",0,0.023732,FALSE
"Gm12184",0,0.008869,FALSE
"Olfr56",0,0.047619,FALSE
"Olfr1393",0,0.041667,FALSE
"Olfr1392",0,0.044444,FALSE
"Olfr10",0,0.003175,FALSE
"Olfr1391",0,0.003515,FALSE
"Olfr1390",0,0.011494,FALSE
"Olfr1389",0,0.090305,FALSE
"Olfr1388",0,0.011783,FALSE
"Olfr1386",0,0.003922,FALSE
"Olfr1385",0,0.012579,FALSE
"Olfr1384",0,0.006289,FALSE
"Olfr1383",0,0.041667,FALSE
"Olfr1382",0,0,FALSE
"Olfr1381",0,0.004405,FALSE
"Olfr1380",0,0,FALSE
"Olfr1378",0,0.001845,FALSE
"Gm12569",0,0.230769,FALSE
"BC049762",11,0.535147,TRUE
"0610009B22Rik",5,0.516605,TRUE
"Skp1a",15,0.483395,TRUE
"Sept8",0,0.193277,FALSE
"Gm12223",0,0.019048,FALSE
"Gm12248",32,1.229885,TRUE
"Olfr30",0,0.042017,FALSE
"Olfr332",0,0.004405,FALSE
"Olfr330",0,0.066667,FALSE
"Olfr325",0,0.011494,FALSE
"Olfr324",0,0.003137,FALSE
"Olfr323",0,0.10084,FALSE
"Olfr317",0,0.025397,FALSE
"Olfr316",0,0.021739,FALSE
"Olfr315",0,0.066667,FALSE
"Olfr314",0,0.044444,FALSE
"Fam183b",11,0.84127,TRUE
"Olfr313",0,0.011494,FALSE
"Olfr312",0,0.00463,FALSE
"Olfr311",0,0.007333,FALSE
"Hist3h2ba",0,0.022989,FALSE
"Hist3h2a",0,0.223404,FALSE
"Olfr222",0,0.001328,FALSE
"Myo15",6,0.885426,TRUE
"Gm27194",0,0.041667,FALSE
"Gm10428",0,0.005076,FALSE
"Gm39566",0,0.191235,FALSE
"0610010K14Rik",0,0.2,FALSE
"Gm43951",0,0.083333,FALSE
"Olfr20",0,0.02109,FALSE
"Olfr376",0,0.004405,FALSE
"Olfr385",0,0.002353,FALSE
"Olfr389",0,0.026581,FALSE
"Olfr390",0,0.018717,FALSE
"Olfr391-ps",0,0.02828,FALSE
"Olfr392",0,0.012832,FALSE
"Olfr393",0,0.00707,FALSE
"Olfr23",0,0.022727,FALSE
"Olfr398",0,0.012275,FALSE
"Olfr402",0,0.00549,FALSE
"Olfr403",0,0.001337,FALSE
"Olfr59",0,0.004011,FALSE
"Olfr412",0,0.010638,FALSE
"1700016K19Rik",12,0.630996,TRUE
"Fam57a",0,0.133333,FALSE
"2610507B11Rik",40,1.575472,TRUE
"Gm17268",0,0.001571,FALSE
"AI662270",0,0.021739,FALSE
"1700125H20Rik",14,0.705882,TRUE
"Sept4",9,0.579832,TRUE
"Gm45716",0,0.166667,FALSE
"Gm21885",0,0.166667,FALSE
"Hils1",37,2.083665,TRUE
"Phb",3,0.266667,TRUE
"Gm9796",0,0.001337,FALSE
"Atp5g1",9,0.666667,TRUE
"1700001P01Rik",19,1.248148,TRUE
"Gm11565",0,0.00664,FALSE
"Ttc25",10,1.546218,TRUE
"G6pc",0,0.002268,FALSE
"Gm11634",3,0.266776,TRUE
"BC030867",9,0.571429,TRUE
"1700023F06Rik",10,0.574866,TRUE
"Gm884",48,2.957983,TRUE
"Gm11639",27,4.327059,TRUE
"March10",24,5.521008,TRUE
"C330019F10Rik",0,0.066667,FALSE
"Fam104a",43,1.819188,TRUE
"D11Wsu47e",7,0.305445,TRUE
"Dnaic2",5,1.521008,TRUE
"Slc9a3r1",0,0.111111,FALSE
"Atp5h",31,0.924354,TRUE
"Smim6",9,0.968519,TRUE
"Gm29292",0,0.003175,FALSE
"St6galnac2.1",0,0.133333,FALSE
"Sept9",4,0.416667,TRUE
"2810410L24Rik",0,0.076923,FALSE
"Gm11770",0,0.066667,FALSE
"Hexdc",0,0.166667,FALSE
"Gm46332",0,0.235294,FALSE
"Gm48610",0,0.068966,FALSE
"AC241534.1",0,0.015228,FALSE
"Fam49a",0,0.25,FALSE
"Gm48213",0,0.02583,FALSE
"Gm48584",0,0.076923,FALSE
"Pqlc3",0,0.083333,FALSE
"2410004P03Rik",0,0.015228,FALSE
"Gm48693",0,0.2,FALSE
"Gm9866",2,0.4,TRUE
"5430401H09Rik",2,0.252101,TRUE
"Sypl",25,0.6,TRUE
"Twistnb",0,0.142857,FALSE
"1700047I17Rik2",0,0.008811,FALSE
"Sfta3-ps",0,0.003515,FALSE
"4930404H11Rik",0,0.206349,FALSE
"Gm4756",0,0.25,FALSE
"Gm39473",0,0.019332,FALSE
"Gm10451",0,0.066667,FALSE
"Gm6657",5,0.428571,TRUE
"Fam71d",19,1.204242,TRUE
"Mpp5",47,2.613445,TRUE
"Gm16572",0,0.25,FALSE
"Pcnx",30,2.150943,TRUE
"Elmsan1",0,0.208333,FALSE
"Gm32296",0,0.197875,FALSE
"Gm4027",0,0.021739,FALSE
"Gm21319",0,0.004713,FALSE
"BB287469",0,0.021739,FALSE
"Gm2056",0,0.00664,FALSE
"1700040E09Rik",0,0.035857,FALSE
"Ndufb1-ps",43,1.437269,TRUE
"Tmem251",0,0.176471,FALSE
"Gm10000",0,0.083333,FALSE
"Gm48807",0,0.065078,FALSE
"Gm16086",0,0.031447,FALSE
"Wars",15,0.563025,TRUE
"Gm34667",0,0.015711,FALSE
"Gm35558.1",0,0.009434,FALSE
"Gm40578",0,0.184127,FALSE
"Apopt1",14,0.621514,TRUE
"Atp5mpl",32,1.018592,TRUE
"Adssl1",0,0.063492,FALSE
"Wdr60",43,1.381371,TRUE
"Gm11027",0,0.016807,FALSE
"Gm46401",3,0.490966,TRUE
"Ero1lb",27,3.193277,TRUE
"Tcrg-C4",0,0.111111,FALSE
"Olfr1369-ps1",0,0.133333,FALSE
"Olfr1368",0,0.002268,FALSE
"Gm11273",0,0.076923,FALSE
"Olfr1366",0,0.022989,FALSE
"Olfr1535",0,0.011494,FALSE
"Olfr1364",0,0.013216,FALSE
"Olfr1361",0,0.002268,FALSE
"Hist1h2ai",0,0.066667,FALSE
"Hist1h2bm",0,0.083333,FALSE
"Hist1h4j",0,0.005076,FALSE
"Hist1h4k",0,0.011494,FALSE
"Hist1h2ak",0,0.047619,FALSE
"Hist1h2bn",0,0.015228,FALSE
"Hist1h1b",0,0.166667,FALSE
"Hist1h3i",0,0.009804,FALSE
"Hist1h2an",0,0.022989,FALSE
"Hist1h2bp",20,0.473923,TRUE
"Hist1h2ao",0,0.011494,FALSE
"Hist1h4n",0,0.041667,FALSE
"Hist1h2ap",0,0.133333,FALSE
"Hist1h2br",0,0.009259,FALSE
"Hist1h2ah",0,0.010152,FALSE
"Hist1h2bk",0,0.076923,FALSE
"Hist1h4i",0,0.16092,FALSE
"Hist1h2ag",0,0.011494,FALSE
"Hist1h2bj",0,0.047619,FALSE
"Vmn1r207-ps",0,0.041667,FALSE
"Hist1h4h",0,0.084034,FALSE
"Hist1h2af",0,0.002217,FALSE
"Hist1h2bh",0,0.004405,FALSE
"Hist1h3f",0,0.004535,FALSE
"Hist1h1d",0,0.076923,FALSE
"Hist1h3e",0,0.066667,FALSE
"Hist1h2ae",0,0.166667,FALSE
"Hist1h2bg",0,0.004405,FALSE
"Hist1h2bf",0,0.016807,FALSE
"Hist1h2ad",0,0.005272,FALSE
"Hist1h3d",0,0.001124,FALSE
"Hist1h4d",0,0.133333,FALSE
"Hist1h2be",0,0.130435,FALSE
"Hist1h1e",0,0.066667,FALSE
"Hist1h2ac",0,0.010152,FALSE
"Hist1h2bc",0,0.049815,FALSE
"Hist1h1t",0,0.2,FALSE
"Hist1h4c",0,0.111111,FALSE
"Hist1h1c",0,0.076923,FALSE
"Hist1h3c",0,0.066667,FALSE
"Hist1h2bb",0,0.011494,FALSE
"Hist1h2ab",0,0.133333,FALSE
"Hist1h3b",0,0.000917,FALSE
"Hist1h4b",0,0.003145,FALSE
"Hist1h4a",2,0.250996,TRUE
"Hist1h3a",0,0.083333,FALSE
"Hist1h1a",0,0.230769,FALSE
"Hist1h2ba",0,0.142857,FALSE
"Hist1h2aa",0,0.238579,FALSE
"Gm11361",0,0.133333,FALSE
"Gm29675",0,0.028302,FALSE
"A530084C06Rik",0,0.033613,FALSE
"4933417A18Rik",9,0.59451,TRUE
"Gm40910",2,0.482759,TRUE
"4930529N20Rik",0,0.067729,FALSE
"Gm48694",0,0.003145,FALSE
"Gm29459",0,0.002674,FALSE
"Gm47731",0,0.004405,FALSE
"Gm47751",0,0.008249,FALSE
"Gm40915",0,0.105565,FALSE
"Gm40916",0,0.032081,FALSE
"Gm10790",0,0.010152,FALSE
"A330076C08Rik",2,0.252101,TRUE
"Gm33958",0,0.006803,FALSE
"Gm27007",3,0.352941,TRUE
"Gm34084",0,0.012302,FALSE
"A330033J07Rik",0,0.034591,FALSE
"Gm36346",0,0.002268,FALSE
"Iars",8,0.866667,TRUE
"Gm30302",24,4.193277,TRUE
"Gm906",0,0.203187,FALSE
"Gm8765",0,0.162019,FALSE
"Gm48336",0,0.005181,FALSE
"Gm48622",0,0.009804,FALSE
"H2afy",20,0.416667,TRUE
"4930550C17Rik",0,0.063745,FALSE
"Gm45623",0,0.001757,FALSE
"2210016F16Rik",2,0.298851,TRUE
"Gm46419",11,0.6,TRUE
"1700014D04Rik",2,0.264276,TRUE
"Gm48384",0,0.033613,FALSE
"Gm48397",0,0.041169,FALSE
"6720489N17Rik",0,0.149425,FALSE
"Gm47193",0,0.018717,FALSE
"Olfr466",0,0.009434,FALSE
"Gm48222",0,0.005181,FALSE
"Gm10324",0,0.021739,FALSE
"2410141K09Rik",0,0.083333,FALSE
"Gm10767",0,0.153846,FALSE
"Gm10037",2,0.252101,TRUE
"1700001L19Rik",4,0.786848,TRUE
"Ttc37",20,0.933333,TRUE
"Fam172a",50,2.931034,TRUE
"Gm49375",0,0.021998,FALSE
"C130071C03Rik",0,0.008403,FALSE
"Gm32351",0,0.056604,FALSE
"AC171003.1",4,0.926984,TRUE
"AC163685.1",0,0.219048,FALSE
"Gm20075",0,0.076923,FALSE
"Col4a3bp",37,1.367925,TRUE
"Gm6169",0,0.111111,FALSE
"Gm5086",0,0.008403,FALSE
"5330416C01Rik",0,0.019048,FALSE
"Gm26619",0,0.041667,FALSE
"Gm10260",0,0.005272,FALSE
"1700024P04Rik",25,0.979705,TRUE
"Gm17160",0,0.2,FALSE
"4933425L06Rik",6,0.383648,TRUE
"Gm48684",0,0.010363,FALSE
"Gm31452",0,0.062084,FALSE
"Gm48879",0,0.003175,FALSE
"BC067074",0,0.029412,FALSE
"D13Ertd608e",0,0.033613,FALSE
"Gm21761",0,0.006349,FALSE
"B020031M17Rik",0,0.004405,FALSE
"Gm21188",0,0.045977,FALSE
"Gm21731",0,0.001337,FALSE
"Gm3591",0,0.033613,FALSE
"Gm3460",4,0.806723,TRUE
"Gm10251",4,0.495798,TRUE
"Gm10339",6,0.773109,TRUE
"Oit1",6,0.462185,TRUE
"4930452B06Rik",26,1.756303,TRUE
"Gm3839",0,0.059608,FALSE
"Gm3848",2,0.5,TRUE
"3830406C13Rik",16,0.563025,TRUE
"Gm281",0,0.012698,FALSE
"Olfr720",0,0.076923,FALSE
"Olfr31",0,0.013216,FALSE
"Gm21738",0,0.021739,FALSE
"Dupd1",8,1.12605,TRUE
"Dusp13",11,0.687915,TRUE
"AC163638.2",43,9.188679,TRUE
"4930572O13Rik",0,0.164045,FALSE
"Gm26660",0,0.008403,FALSE
"Tmem254a",0,0.002268,FALSE
"Cphx3",0,0.003145,FALSE
"4933413J09Rik",2,0.308235,TRUE
"CT009536.1",0,0.119157,FALSE
"Smim4",38,2.89916,TRUE
"Gm48914",0,0.068966,FALSE
"Gm2990",0,0.083333,FALSE
"Prrxl1",0,0.005505,FALSE
"Gm49108",0,0.006349,FALSE
"Fam25c",0,0.000784,FALSE
"2610528A11Rik",1,0.295455,TRUE
"Gm49101",0,0.072327,FALSE
"AC160336.1",28,3.310345,TRUE
"Ero1l",2,0.277311,TRUE
"Gm41144",0,0.135114,FALSE
"Gm15601",4,0.563025,TRUE
"Gm49124",0,0.003175,FALSE
"E130120K24Rik",0,0.009524,FALSE
"Gm49302",0,0.002656,FALSE
"Gm49303",0,0.041667,FALSE
"Gm49305",0,0.066667,FALSE
"ccdc198",3,0.27619,TRUE
"Olfr722",0,0.083333,FALSE
"Olfr723",0,0.008403,FALSE
"Olfr724",0,0.012698,FALSE
"Olfr725",0,0.003175,FALSE
"Olfr729",0,0.003175,FALSE
"Olfr731",0,0.237397,FALSE
"Olfr732",0,0.111111,FALSE
"Olfr733",0,0.083922,FALSE
"Olfr734",0,0.098039,FALSE
"Olfr735",0,0.030588,FALSE
"Olfr736",0,0.083333,FALSE
"Olfr738",0,0.01098,FALSE
"Olfr739",0,0.010695,FALSE
"Olfr740",0,0.008021,FALSE
"Olfr741",0,0.016043,FALSE
"Olfr742",0,0.069519,FALSE
"Olfr743",0,0.024064,FALSE
"Olfr748",0,0.009434,FALSE
"Olfr750",0,0.003515,FALSE
"Olfr221",0,0.066667,FALSE
"Olfr1513",2,0.666667,TRUE
"Olfr1512",0,0.05042,FALSE
"Olfr1511",0,0.184874,FALSE
"Olfr1510",0,0.042017,FALSE
"Olfr1509",0,0.174603,FALSE
"Olfr1508",0,0.228235,FALSE
"Olfr1507",0,0.142857,FALSE
"Olfr49",0,0.041667,FALSE
"Gm17606",0,0.2,FALSE
"Gm29776",0,0.066667,FALSE
"Gm31251",0,0.021739,FALSE
"Cenpj",42,1.033613,TRUE
"Gm5463",0,0.066667,FALSE
"1700120O09Rik",0,0.083333,FALSE
"Fam160b2",7,0.676101,TRUE
"Gm21750",0,0.002268,FALSE
"Spert",11,0.735724,TRUE
"Gm48968",0,0.001757,FALSE
"Gm9748",0,0.25,FALSE
"Spertl",7,0.628154,TRUE
"Gm49007",1,0.292781,TRUE
"Rnf219",11,0.416667,TRUE
