"gene_name","cells_above_default_threshold","max_avg_expression","above_default_threshold"
"Olfr1222",0,0.017415,FALSE
"Olfr1223",0,0.010212,FALSE
"Olfr1224-ps1",0,0.025923,FALSE
"Olfr1225",0,0.003175,FALSE
"Olfr1226",0,0.014118,FALSE
"Olfr1228",0,0.006349,FALSE
"Olfr1229",0,0.004706,FALSE
"Olfr1231",0,0.006349,FALSE
"Olfr1232",0,0.002353,FALSE
"Olfr1233",0,0.004011,FALSE
"Olfr1234",0,0.00549,FALSE
"Olfr1238",0,0.015723,FALSE
"Olfr1250",0,0,FALSE
"Olfr1251",0,0,FALSE
"Olfr1257",0,0.066667,FALSE
"Olfr1258",0,0.083333,FALSE
"Olfr1259",0,0.066667,FALSE
"Olfr1262",0,0.012698,FALSE
"Olfr1263",0,0.000784,FALSE
"Olfr140",0,0.008403,FALSE
"Olfr1269",0,0,FALSE
"Olfr32",0,0.001833,FALSE
"Olfr1270",0,0.02521,FALSE
"Olfr142",0,0.033613,FALSE
"Olfr1271",0,0.016807,FALSE
"Olfr1272",0,0.008403,FALSE
"4933423P22Rik",4,0.382745,TRUE
"1110051M20Rik",51,4.840336,TRUE
"1700029I15Rik",17,1.034014,TRUE
"Gm10801",0,0.022989,FALSE
"Gm10800",0,0.066667,FALSE
"B230118H07Rik",16,0.570111,TRUE
"Gm13881",0,0.015873,FALSE
"Gm11060",0,0.000784,FALSE
"Gm13942",6,0.680672,TRUE
"Gm13941",8,1.89916,TRUE
"Gm15130",10,3.655462,TRUE
"4930430A15Rik",22,13.252101,TRUE
"Olfr1275",0,0.109244,FALSE
"Olfr1276",2,0.285714,TRUE
"Olfr1277",0,0.218487,FALSE
"Olfr1278",4,0.680672,TRUE
"Olfr1279",4,0.957983,TRUE
"Olfr1280",2,0.537815,TRUE
"Olfr1281",0,0.159664,FALSE
"Olfr1282",0,0.016807,FALSE
"Olfr1283",0,0.02521,FALSE
"Olfr1284",0,0.042017,FALSE
"Olfr1286",0,0.151261,FALSE
"Olfr1287",0,0.003175,FALSE
"Olfr1288",0,0.006349,FALSE
"Olfr1289",0,0.009524,FALSE
"Olfr1290",0,0.02521,FALSE
"Olfr1291-ps1",0,0.012698,FALSE
"Olfr1293-ps",0,0.002353,FALSE
"Olfr1294",0,0.003175,FALSE
"Olfr1295",0,0.009358,FALSE
"Olfr1297",0,0.002353,FALSE
"Olfr1298",0,0.001569,FALSE
"Olfr1307",0,0.001337,FALSE
"Olfr1318",0,0.01098,FALSE
"A530058N18Rik",0,0.010082,FALSE
"C130080G10Rik",0,0.011494,FALSE
"Gm13977",0,0.111111,FALSE
"BC052040",30,2.066667,TRUE
"Gm13985",0,0.006349,FALSE
"Casc4",49,2.166667,TRUE
"Gm14085",0,0.01098,FALSE
"Spata5l1",0,0.021739,FALSE
"Gm17555",0,0.002268,FALSE
"Gm14012",0,0.005181,FALSE
"AI847159",0,0.003175,FALSE
"4930402H24Rik",53,4.546218,TRUE
"1700037H04Rik",23,0.97479,TRUE
"Gm14097",0,0.022026,FALSE
